acct,area,vmail,day.mins,day.calls,day.charge,intl.mins,intl.calls,intl.charge,churn
497,415,yes,178.7,134,30.38,8,4,2.16,No
498,415,no,177.5,93,30.18,11.9,3,3.21,No
499,408,no,211.3,61,35.92,9.7,4,2.62,Yes
500,415,no,175.2,91,29.78,7.5,2,2.03,No
501,415,yes,114.3,102,19.43,12.6,7,3.4,No
502,415,yes,251.4,104,42.74,7.5,5,2.03,No
503,415,no,216.9,61,36.87,17.5,5,4.73,Yes
504,415,yes,217.2,138,36.92,9.3,3,2.51,No
505,510,no,206.3,97,35.07,12.4,12,3.35,No
506,415,no,159.3,66,27.08,11.1,5,3,No
507,415,yes,143.1,88,24.33,11.4,5,3.08,No
508,415,no,154,122,26.18,5.6,2,1.51,Yes
509,408,yes,186.6,69,31.72,11.6,5,3.13,No
510,415,yes,170.8,114,29.04,9.6,5,2.59,Yes
511,408,yes,124,102,21.08,12.3,3,3.32,No
512,415,no,198.3,94,33.71,14.8,8,4,No
513,408,no,172.8,101,29.38,9.1,8,2.46,No
514,415,yes,217.4,74,36.96,6.6,3,1.78,No
515,408,yes,265.9,113,45.2,14,12,3.78,Yes
516,510,yes,93.6,137,15.91,17.5,5,4.73,No
517,510,no,98.2,100,16.69,7.6,1,2.05,No
518,408,no,214.7,68,36.5,9.4,4,2.54,No
519,415,no,168.2,92,28.59,12.9,3,3.48,No
520,408,no,202.9,97,34.49,9,3,2.43,No
521,415,no,261.4,108,44.44,11.6,2,3.13,No
522,510,no,73.3,86,12.46,8.2,3,2.21,Yes
523,408,yes,253.7,84,43.13,9.2,5,2.48,No
524,408,no,45,108,7.65,9.8,6,2.65,No
525,510,no,231.3,105,39.32,13,6,3.51,No
526,408,no,47.4,125,8.06,10.5,8,2.84,No
527,510,no,227.4,88,38.66,12.5,3,3.38,No
528,415,yes,40.9,126,6.95,11.9,7,3.21,No
529,415,no,124.8,133,21.22,8.6,4,2.32,No
530,510,no,68.5,110,11.65,12.1,9,3.27,No
531,415,yes,163.5,77,27.8,7.8,4,2.11,No
532,415,no,163,112,27.71,6.7,3,1.81,No
533,415,yes,213.7,61,36.33,10.7,5,2.89,No
534,415,yes,201.3,117,34.22,5.4,3,1.46,No
535,510,no,310.4,97,52.77,9.2,10,2.48,No
536,408,no,48.4,101,8.23,18.2,1,4.91,No
537,415,yes,171.2,88,29.1,14,6,3.78,No
538,415,yes,166.5,93,28.31,8.5,3,2.3,No
539,415,no,216.6,126,36.82,12.4,8,3.35,No
540,408,no,107.8,113,18.33,9.9,3,2.67,No
541,408,yes,141.3,94,24.02,7.8,2,2.11,No
542,415,yes,209.9,77,35.68,6.6,1,1.78,No
543,415,yes,237.5,120,40.38,14.2,3,3.83,Yes
544,415,no,234.5,109,39.87,3.5,6,0.95,No
545,510,yes,103.1,90,17.53,12.2,8,3.29,No
546,510,yes,129.5,106,22.02,11.9,3,3.21,No
547,510,no,279.8,90,47.57,8.4,10,2.27,Yes
548,510,yes,136.8,91,23.26,10.3,9,2.78,Yes
549,415,yes,100.1,54,17.02,5.9,3,1.59,No
550,408,yes,237.1,63,40.31,10.1,5,2.73,No
551,415,no,172.8,58,29.38,7.9,3,2.13,Yes
552,415,no,224.5,111,38.17,11.5,2,3.11,No
553,510,no,288.1,112,48.98,10.2,4,2.75,Yes
554,510,no,78.2,103,13.29,10.1,6,2.73,No
555,415,no,148.7,80,25.28,12.7,6,3.43,No
556,415,yes,194.6,84,33.08,13.1,2,3.54,No
557,408,no,159.5,77,27.12,12,4,3.24,No
558,408,yes,194.5,110,33.07,9.5,2,2.57,No
559,408,no,174.1,96,29.6,8.3,5,2.24,Yes
560,415,no,131.8,97,22.41,7.7,6,2.08,No
561,415,no,160.6,103,27.3,10.7,1,2.89,No
562,408,yes,146.8,107,24.96,7.2,7,1.94,No
563,408,yes,200.7,88,34.12,9.1,5,2.46,No
564,415,no,145.6,106,24.75,10.9,5,2.94,No
565,415,yes,229.4,104,39,8,1,2.16,No
566,510,no,211,76,35.87,4.7,4,1.27,No
567,510,yes,121.5,97,20.66,11.3,5,3.05,No
568,510,no,216,73,36.72,3.6,7,0.97,No
569,510,no,293,88,49.81,10,6,2.7,No
570,408,yes,221.1,137,37.59,15.4,4,4.16,Yes
571,510,no,181.5,108,30.86,10.3,2,2.78,No
572,415,yes,74.3,107,12.63,14.5,3,3.92,No
573,415,no,62.3,92,10.59,10.8,3,2.92,No
574,408,yes,228.6,88,38.86,9,1,2.43,No
575,510,no,228.1,121,38.78,9.9,5,2.67,Yes
576,415,yes,309.9,90,52.68,14.2,2,3.83,No
577,415,no,201.9,74,34.32,13.7,6,3.7,No
578,408,no,149.8,112,25.47,11.7,4,3.16,No
579,408,yes,183.8,76,31.25,7.7,3,2.08,No
580,408,yes,186.7,108,31.74,16.5,4,4.46,No
581,415,no,209.4,151,35.6,7.4,2,2,Yes
582,415,yes,223.2,77,37.94,10.2,3,2.75,No
583,415,no,164.2,109,27.91,10.7,8,2.89,No
584,408,no,150.5,75,25.59,10.3,2,2.78,No
585,510,no,234.2,128,39.81,9.8,6,2.65,Yes
586,408,no,55.3,102,9.4,10.2,5,2.75,No
587,408,no,221.8,97,37.71,8.4,4,2.27,No
588,415,no,169.6,85,28.83,7.4,8,2,No
589,408,no,89.7,118,15.25,13.5,11,3.65,Yes
590,408,yes,80.2,81,13.63,8.6,2,2.32,No
591,408,no,218.9,105,37.21,11.3,4,3.05,No
592,408,no,125.7,96,21.37,12.9,2,3.48,No
593,510,no,176.3,85,29.97,9.6,1,2.59,No
594,510,yes,207.2,111,35.22,9.5,5,2.57,No
595,415,no,205.7,138,34.97,12.5,6,3.38,No
596,408,yes,151.4,95,25.74,0,0,0,No
597,510,no,157.5,70,26.78,9.6,4,2.59,No
598,408,no,160.4,68,27.27,9.1,5,2.46,No
599,415,no,159,80,27.03,12.3,5,3.32,No
600,510,yes,214.1,62,36.4,9.2,6,2.48,No
601,510,no,102.6,89,17.44,9.1,4,2.46,No
602,415,no,159.7,86,27.15,13.9,6,3.75,Yes
603,510,no,202.8,109,34.48,4.6,4,1.24,No
604,415,no,57.5,95,9.78,11.6,6,3.13,No
605,415,no,169.9,144,28.88,11.4,7,3.08,No
606,415,no,335.5,77,57.04,12.7,8,3.43,Yes
607,415,no,139.5,119,23.72,13.1,8,3.54,No
608,415,yes,142.3,107,24.19,6.6,8,1.78,No
609,415,no,187.8,94,31.93,10.6,5,2.86,No
610,415,no,146.2,55,24.85,8.7,3,2.35,No
611,510,no,231.8,120,39.41,11.6,7,3.13,No
612,415,no,193.7,83,32.93,12.7,3,3.43,No
613,510,no,156.4,108,26.59,7.7,6,2.08,No
614,415,yes,220.7,82,37.52,13.2,6,3.56,Yes
615,408,yes,239.8,110,40.77,7.3,1,1.97,No
616,510,yes,172,111,29.24,8,5,2.16,No
617,408,yes,128.2,138,21.79,8.8,7,2.38,No
618,510,no,130.2,119,22.13,14,6,3.78,No
619,510,no,195.4,107,33.22,11.6,6,3.13,No
620,415,no,293.3,79,49.86,14.5,4,3.92,Yes
621,415,no,191.3,89,32.52,12.8,4,3.46,No
622,510,no,122.4,88,20.81,11.5,3,3.11,No
623,408,yes,209.6,68,35.63,10.6,3,2.86,No
624,415,no,215.7,140,36.67,7.1,1,1.92,No
625,415,no,161.4,110,27.44,5.1,2,1.38,No
626,510,no,144.2,91,24.51,13.8,4,3.73,No
627,408,yes,220.2,109,37.43,4.1,2,1.11,Yes
628,510,no,256.2,105,43.55,7.4,2,2,No
629,415,no,112.7,119,19.16,6.5,5,1.76,No
630,415,no,299.5,125,50.92,13.7,4,3.7,Yes
631,408,no,194.8,107,33.12,13.9,4,3.75,No
632,415,no,100.8,112,17.14,9.5,2,2.57,No
633,408,yes,82.5,97,14.03,4.8,4,1.3,No
634,415,yes,146.4,104,24.89,15.6,4,4.21,No
635,408,no,177.9,129,30.24,10.8,6,2.92,No
636,510,yes,153.5,84,26.1,10.2,7,2.75,No
637,408,no,150.7,105,25.62,9.2,15,2.48,No
638,408,yes,180.1,106,30.62,7.5,3,2.03,No
639,415,yes,265.3,94,45.1,12.9,1,3.48,No
640,415,no,128.6,83,21.86,11.4,2,3.08,No
641,415,no,161.5,92,27.46,7.9,4,2.13,No
642,408,no,165.3,120,28.1,9.8,3,2.65,No
643,415,no,195,92,33.15,11,13,2.97,No
644,415,no,213.8,79,36.35,15.6,7,4.21,No
645,510,yes,205.5,114,34.94,14,4,3.78,No
646,415,yes,252.9,112,42.99,8.5,4,2.3,No
647,408,yes,235.6,74,40.05,15.4,9,4.16,No
648,415,no,192,91,32.64,7.5,5,2.03,No
649,415,yes,69.1,122,11.75,9.1,4,2.46,No
650,408,no,261.7,97,44.49,6,3,1.62,Yes
651,415,no,235.5,81,40.04,11.5,4,3.11,No
652,408,no,213.4,100,36.28,9.5,6,2.57,No
653,415,yes,206.9,143,35.17,9.2,1,2.48,No
654,415,yes,263.8,65,44.85,8.5,3,2.3,No
655,510,yes,183.4,126,31.18,10.5,5,2.84,No
656,510,no,157.6,85,26.79,9.4,10,2.54,Yes
657,415,no,175.6,147,29.85,9.3,4,2.51,No
658,415,no,242.5,101,41.23,9.3,2,2.51,No
659,415,no,151,102,25.67,9.9,7,2.67,No
660,415,no,138.1,103,23.48,8.3,2,2.24,No
661,408,no,264.7,69,45,9.5,9,2.57,Yes
662,408,yes,282.3,70,47.99,12,4,3.24,No
663,415,no,211.2,80,35.9,12.3,2,3.32,No
664,415,no,197.1,126,33.51,7.4,4,2,No
665,408,no,205.3,95,34.9,7.8,4,2.11,No
666,415,yes,181.8,110,30.91,9.2,4,2.48,No
667,415,no,252,120,42.84,9.6,1,2.59,No
668,510,no,193.8,102,32.95,9.2,3,2.48,No
669,415,no,231.2,135,39.3,12.3,1,3.32,No
670,415,yes,200.1,108,34.02,15.5,4,4.19,No
671,408,yes,266.7,109,45.34,16.3,4,4.4,No
672,415,yes,118.1,117,20.08,11.9,6,3.21,No
673,408,no,175.3,106,29.8,11.8,5,3.19,No
674,408,no,125.1,99,21.27,11.2,3,3.02,No
675,415,no,176.8,90,30.06,7.5,15,2.03,No
676,415,no,241.9,101,41.12,5.9,3,1.59,No
677,408,no,241.2,134,41,10.6,4,2.86,No
678,408,no,217.1,99,36.91,9.4,4,2.54,No
679,510,no,195.4,110,33.22,8.9,4,2.4,No
680,415,no,222.4,78,37.81,8.7,9,2.35,Yes
681,510,no,189.5,90,32.22,13.1,2,3.54,No
682,415,no,123.1,100,20.93,9.3,5,2.51,No
683,415,yes,256.7,98,43.64,11.4,3,3.08,No
684,408,no,159.1,94,27.05,6.5,1,1.76,No
685,408,no,100.1,90,17.02,11.1,8,3,No
686,415,yes,30.9,113,5.25,8.6,7,2.32,No
687,415,no,223.2,76,37.94,10.1,2,2.73,No
688,510,no,187.4,101,31.86,12.6,8,3.4,No
689,510,yes,315.6,105,53.65,12.1,3,3.27,No
690,415,no,277.5,104,47.18,8.2,2,2.21,No
691,415,no,189.8,111,32.27,14.9,3,4.02,No
692,510,no,147.2,119,25.02,10.2,4,2.75,No
693,408,no,185.8,36,31.59,5.7,7,1.54,No
694,510,yes,155.4,110,26.42,8,4,2.16,No
695,510,no,154.2,91,26.21,10.9,4,2.94,No
696,415,no,97.6,98,16.59,11.6,9,3.13,No
697,415,no,178.8,94,30.4,7.5,3,2.03,No
698,408,no,149.3,104,25.38,9.1,4,2.46,No
699,415,no,206,89,35.02,8.4,11,2.27,No
700,415,no,216.8,86,36.86,11,9,2.97,No
701,415,no,103.3,110,17.56,10.7,3,2.89,No
702,415,no,139.4,95,23.7,7.7,3,2.08,No
703,415,no,191.2,110,32.5,14.1,3,3.81,No
704,510,yes,160,104,27.2,10.4,7,2.81,No
705,510,no,221.7,95,37.69,6.5,4,1.76,No
706,415,no,62.9,81,10.69,8.5,5,2.3,No
707,415,no,215.6,78,36.65,3.6,5,0.97,No
708,510,yes,165.3,97,28.1,7.6,7,2.05,No
709,415,yes,94.7,111,16.1,10.6,6,2.86,No
710,510,no,203.2,81,34.54,9.7,3,2.62,No
711,510,no,195.3,70,33.2,12.5,4,3.38,No
712,510,no,143.7,114,24.43,11.4,8,3.08,No
713,415,no,114.4,104,19.45,0,0,0,No
714,415,no,222.8,101,37.88,6.9,2,1.86,No
715,415,yes,175.9,70,29.9,7.3,5,1.97,No
716,510,no,249.9,95,42.48,15.3,6,4.13,Yes
717,408,yes,234.5,130,39.87,11.4,4,3.08,No
718,415,no,210.7,116,35.82,7.2,6,1.94,No
719,408,no,182.3,124,30.99,9.3,3,2.51,No
720,510,no,190.3,88,32.35,11.7,5,3.16,No
721,415,yes,177.1,88,30.11,7.4,2,2,No
722,510,yes,87.2,92,14.82,10.9,5,2.94,Yes
723,415,no,215.6,96,36.65,13.5,3,3.65,No
724,510,no,137.4,109,23.36,14,11,3.78,No
725,510,yes,192.8,103,32.78,16.4,5,4.43,No
726,510,no,149.3,100,25.38,11.9,3,3.21,No
727,408,no,143.7,116,24.43,7.8,5,2.11,No
728,415,no,224.8,111,38.22,9.2,2,2.48,No
729,510,yes,261.2,122,44.4,12.7,5,3.43,No
730,415,yes,196.5,98,33.41,13.4,5,3.62,No
731,510,no,271.2,105,46.1,11.5,3,3.11,Yes
732,415,no,207.2,121,35.22,8,1,2.16,No
733,510,no,300.4,94,51.07,7.2,5,1.94,No
734,408,yes,229.6,123,39.03,9.5,8,2.57,No
735,415,yes,187.5,110,31.88,12.1,4,3.27,No
736,415,no,57.1,98,9.71,6.5,6,1.76,No
737,415,no,162.1,86,27.56,11,9,2.97,Yes
738,415,no,145,89,24.65,16.7,3,4.51,Yes
739,510,no,159.5,123,27.12,11.4,3,3.08,No
740,510,no,190.7,72,32.42,8.8,8,2.38,No
741,510,yes,230.6,40,39.2,9.4,2,2.54,No
742,415,no,34,133,5.78,11.5,3,3.11,No
743,415,yes,193.4,112,32.88,11.4,3,3.08,No
744,408,no,202,126,34.34,10.4,6,2.81,No
745,415,no,191.7,122,32.59,9.1,5,2.46,No
746,415,yes,161.3,97,27.42,6.6,8,1.78,No
747,415,no,150.6,85,25.6,6.4,2,1.73,No
748,510,no,184.6,102,31.38,7.8,1,2.11,No
749,408,no,220.7,120,37.52,8.7,5,2.35,No
750,510,no,167.3,119,28.44,11,6,2.97,No
751,415,yes,154,80,26.18,8.2,4,2.21,No
752,415,yes,121.1,116,20.59,10.1,6,2.73,No
753,510,yes,182.1,94,30.96,12.7,4,3.43,No
754,415,no,109.6,88,18.63,11,5,2.97,No
755,415,no,209.9,105,35.68,9.6,4,2.59,No
756,415,no,167.5,76,28.48,11.4,4,3.08,No
757,415,no,213.9,88,36.36,9.8,14,2.65,No
758,415,no,115.8,108,19.69,13.1,5,3.54,No
759,510,yes,276.6,99,47.02,9.8,6,2.65,No
760,415,yes,179.4,88,30.5,9.5,4,2.57,No
761,510,no,187.3,84,31.84,10.1,5,2.73,No
762,408,no,201.2,128,34.2,8.4,3,2.27,No
763,415,no,189.6,78,32.23,1.3,6,0.35,No
764,415,yes,186.8,124,31.76,15,5,4.05,No
765,415,yes,153.5,83,26.1,11.4,4,3.08,No
766,415,no,187.6,97,31.89,8.7,6,2.35,No
767,415,no,230.9,132,39.25,11,2,2.97,Yes
768,415,yes,244.9,150,41.63,15.2,4,4.1,No
769,415,no,230.9,93,39.25,9.7,2,2.62,No
770,415,no,187.1,104,31.81,11,3,2.97,No
771,415,no,170.7,54,29.02,13.3,4,3.59,No
772,415,yes,126.9,97,21.57,8.8,3,2.38,Yes
773,510,no,189.5,112,32.22,9.2,7,2.48,No
774,408,no,176.9,110,30.07,7.7,2,2.08,Yes
775,415,no,161.1,99,27.39,10.6,4,2.86,No
776,510,no,169.4,107,28.8,10.7,4,2.89,No
777,415,yes,254.4,133,43.25,10.5,4,2.84,No
778,510,yes,127.7,54,21.71,5.8,4,1.57,No
779,415,yes,170.5,107,28.99,13.6,5,3.67,No
780,408,no,219.1,100,37.25,10.1,4,2.73,No
781,510,no,273.5,104,46.5,11,9,2.97,No
782,415,no,161.9,138,27.52,10.7,4,2.89,No
783,510,yes,241.7,87,41.09,9.4,4,2.54,No
784,408,no,62.8,124,10.68,9.4,4,2.54,No
785,415,yes,281.1,83,47.79,11.2,9,3.02,No
786,415,no,228.2,70,38.79,10.7,5,2.89,No
787,408,no,209.8,82,35.67,11.3,3,3.05,No
788,408,no,265.6,86,45.15,11.1,6,3,Yes
789,415,no,214.9,97,36.53,11.8,2,3.19,No
790,510,no,110.5,79,18.79,10.5,3,2.84,No
791,415,yes,281.1,88,47.79,7.5,3,2.03,No
792,415,no,137.8,86,23.43,14.1,3,3.81,No
793,510,yes,271.5,98,46.16,8.2,2,2.21,Yes
794,408,no,112.8,108,19.18,9,3,2.43,No
795,408,no,187.3,118,31.84,15.1,2,4.08,No
796,415,no,197,84,33.49,10.8,4,2.92,No
797,415,yes,180.4,89,30.67,8.4,2,2.27,No
798,408,no,148.5,126,25.25,14.5,7,3.92,Yes
799,415,yes,197.1,113,33.51,14.6,5,3.94,No
800,415,yes,153.7,115,26.13,15.9,5,4.29,No
801,415,yes,261.3,96,44.42,11.3,2,3.05,No
802,510,no,246.2,102,41.85,9.4,5,2.54,No
803,510,no,191,88,32.47,6.5,4,1.76,No
804,408,no,208.3,86,35.41,12.6,3,3.4,No
805,415,no,253,73,43.01,9.8,4,2.65,No
806,408,no,202.3,87,34.39,6.8,4,1.84,No
807,408,no,174.4,120,29.65,10.2,5,2.75,No
808,415,yes,127.1,89,21.61,12.1,3,3.27,No
809,510,yes,143.5,76,24.4,11.3,3,3.05,No
810,510,yes,186.9,94,31.77,5.8,3,1.57,No
811,510,no,194,118,32.98,12.1,4,3.27,No
812,510,no,234.8,89,39.92,9.9,6,2.67,No
813,510,no,123.7,96,21.03,13.1,4,3.54,No
814,510,no,173.9,103,29.56,15.3,5,4.13,No
815,510,yes,130.9,115,22.25,12.4,4,3.35,No
816,415,no,314.6,102,53.48,5.7,3,1.54,Yes
817,510,no,227.9,78,38.74,12.1,5,3.27,No
818,510,no,95.5,92,16.24,6.6,6,1.78,No
819,408,no,185.3,127,31.5,15.1,3,4.08,No
820,415,no,146.3,133,24.87,13.1,3,3.54,No
821,510,yes,184,99,31.28,12.7,3,3.43,No
822,415,no,105.8,110,17.99,13.1,5,3.54,No
823,415,no,178,110,30.26,11.7,4,3.16,No
824,510,yes,149.4,74,25.4,10.1,6,2.73,No
825,510,no,209.4,104,35.6,11.3,3,3.05,No
826,415,no,172.1,105,29.26,11.6,6,3.13,No
827,510,no,169.3,82,28.78,9.4,9,2.54,No
828,415,no,119.1,117,20.25,12.2,4,3.29,No
829,415,no,194.2,147,33.01,5.5,2,1.49,No
830,510,no,198.8,56,33.8,9.9,3,2.67,No
831,408,no,167.7,94,28.51,13.4,1,3.62,Yes
832,415,no,202.2,86,34.37,11.8,2,3.19,No
833,408,no,322.5,106,54.83,9.4,4,2.54,Yes
834,510,no,216.2,107,36.75,10.2,3,2.75,No
835,415,no,76.4,116,12.99,9.4,3,2.54,No
836,510,no,72.7,75,12.36,9.9,3,2.67,No
837,415,yes,210.4,100,35.77,9.7,4,2.62,No
838,510,yes,127.2,93,21.62,8.1,13,2.19,No
839,510,yes,201.8,79,34.31,11.9,8,3.21,No
840,415,yes,219.5,78,37.32,16.1,5,4.35,No
841,408,no,99.3,112,16.88,9,6,2.43,No
842,415,no,239.2,114,40.66,10.3,2,2.78,No
843,415,no,120.9,58,20.55,11.4,11,3.08,No
844,408,no,224.7,81,38.2,15.8,6,4.27,No
845,408,yes,176.6,88,30.02,14.6,6,3.94,No
846,415,yes,283.9,98,48.26,10,4,2.7,No
847,415,no,180.6,92,30.7,10.3,4,2.78,Yes
848,415,yes,125.9,101,21.4,10.3,4,2.78,No
849,408,no,237.6,79,40.39,9.1,9,2.46,No
850,415,no,198.4,91,33.73,9.2,2,2.48,No
851,408,no,274.3,110,46.63,10.9,5,2.94,No
852,408,no,199.6,89,33.93,11,4,2.97,Yes
853,510,no,217.7,91,37.01,9.6,3,2.59,No
854,415,no,134.7,96,22.9,7.6,6,2.05,No
855,415,yes,212.7,73,36.16,9.7,13,2.62,No
856,510,no,256.3,135,43.57,6.2,7,1.67,No
857,408,no,183.6,133,31.21,12.7,2,3.43,No
858,415,no,176.2,90,29.95,9.2,4,2.48,No
859,415,yes,205,94,34.85,11.7,8,3.16,No
860,408,no,267.9,114,45.54,11.3,3,3.05,Yes
861,415,no,179.2,111,30.46,9.9,6,2.67,No
862,415,no,149.4,145,25.4,14.9,3,4.02,No
863,510,yes,163.6,132,27.81,13.1,3,3.54,No
864,408,no,207.6,71,35.29,12.4,13,3.35,No
865,510,no,165.4,108,28.12,8.9,4,2.4,No
866,415,no,209.8,114,35.67,9.9,9,2.67,No
867,415,yes,220.1,128,37.42,11.1,3,3,No
868,510,no,141.3,72,24.02,8.2,5,2.21,No
869,408,no,196.5,89,33.41,4,7,1.08,No
870,510,no,180.9,114,30.75,7.4,4,2,No
871,408,no,105,150,17.85,14.9,5,4.02,No
872,510,no,271.4,119,46.14,11.1,6,3,Yes
873,510,yes,206.7,79,35.14,10.9,3,2.94,No
874,408,no,166.8,109,28.36,9.3,1,2.51,No
875,415,no,204.9,107,34.83,10.4,3,2.81,No
876,415,yes,154.6,128,26.28,9.1,4,2.46,No
877,415,no,127,107,21.59,7.5,2,2.03,No
878,415,no,267.4,78,45.46,5.9,4,1.59,No
879,415,no,281,66,47.77,0,0,0,No
880,510,yes,270.8,96,46.04,11.8,8,3.19,No
881,408,no,171.2,82,29.1,10.2,7,2.75,No
882,510,no,124.1,82,21.1,6.7,8,1.81,No
883,415,no,162.8,113,27.68,7.2,3,1.94,No
884,408,no,146.3,84,24.87,8,12,2.16,No
885,415,no,254.8,85,43.32,15,7,4.05,No
886,408,yes,254.9,108,43.33,5.4,3,1.46,No
887,510,yes,107.7,124,18.31,8.9,3,2.4,No
888,408,no,158.8,75,27,7.6,7,2.05,No
889,415,no,182.9,113,31.09,5.5,4,1.49,No
890,415,no,198.5,112,33.75,12.4,5,3.35,No
891,415,no,178.4,72,30.33,12,2,3.24,No
892,510,no,110.9,91,18.85,6.2,5,1.67,No
893,415,yes,166.9,85,28.37,12.3,4,3.32,Yes
894,415,no,244.8,91,41.62,10.7,3,2.89,No
895,510,no,120.8,96,20.54,11.9,3,3.21,Yes
896,415,no,165.3,118,28.1,8.5,3,2.3,No
897,415,no,126.7,113,21.54,14.4,7,3.89,No
898,408,yes,215.9,106,36.7,15.5,7,4.19,No
899,415,no,140.1,132,23.82,8,2,2.16,No
900,415,yes,209.9,113,35.68,8.7,7,2.35,No
901,510,yes,139.8,114,23.77,5.5,6,1.49,No
902,510,no,321.6,107,54.67,11.3,3,3.05,Yes
903,510,no,166.6,61,28.32,8.2,6,2.21,No
904,415,no,214.2,90,36.41,5.9,8,1.59,No
905,415,no,260,123,44.2,9,3,2.43,Yes
906,415,no,191.9,113,32.62,13.4,4,3.62,Yes
907,408,no,213,95,36.21,13.5,3,3.65,No
908,415,yes,118.1,83,20.08,16.9,2,4.56,No
909,408,no,190.2,89,32.33,15,4,4.05,No
910,415,yes,82.2,95,13.97,5.1,6,1.38,No
911,415,yes,163.8,80,27.85,8.1,5,2.19,No
912,415,no,267.8,145,45.53,14.4,11,3.89,Yes
913,510,no,159.8,91,27.17,10.6,3,2.86,No
914,408,yes,214.3,129,36.43,10.6,4,2.86,No
915,510,no,287.3,123,48.84,10.5,4,2.84,Yes
916,408,no,101.2,122,17.2,7.5,3,2.03,No
917,415,no,102.8,74,17.48,13.2,5,3.56,No
918,415,no,109.1,97,18.55,8.3,6,2.24,No
919,408,no,215.9,67,36.7,5.2,2,1.4,No
920,415,no,203.4,110,34.58,11,4,2.97,No
921,510,no,110.1,113,18.72,9.2,2,2.48,No
922,415,no,111,51,18.87,4.4,14,1.19,No
923,415,no,239.9,121,40.78,9.3,5,2.51,No
924,415,no,144.8,107,24.62,13.8,3,3.73,No
925,408,no,135.4,134,23.02,7.9,4,2.13,No
926,415,no,84.2,134,14.31,10.8,2,2.92,No
927,415,no,209.1,127,35.55,14,6,3.78,No
928,415,yes,130.1,117,22.12,11.4,5,3.08,No
929,510,yes,175.8,139,29.89,7.8,5,2.11,No
930,415,no,241.9,104,41.12,6.6,5,1.78,No
931,415,no,136.7,106,23.24,9.8,4,2.65,No
932,510,no,67.7,68,11.51,12,2,3.24,No
933,415,no,200.4,87,34.07,10,2,2.7,No
934,510,no,125.8,103,21.39,14.1,4,3.81,Yes
935,408,no,128.2,87,21.79,11.2,2,3.02,No
936,408,no,226.3,88,38.47,13,3,3.51,No
937,510,yes,162.3,107,27.59,9.2,4,2.48,No
938,415,no,224.4,121,38.15,6.7,2,1.81,No
939,415,no,120.5,127,20.49,14.3,2,3.86,No
940,408,no,91.1,90,15.49,11.9,8,3.21,No
941,415,no,168.8,137,28.7,15.5,4,4.19,No
942,510,no,153.5,81,26.1,6.5,5,1.76,No
943,415,no,226.2,88,38.45,6.4,2,1.73,No
944,510,no,191.9,107,32.62,12.6,2,3.4,No
945,415,yes,167.9,147,28.54,9.2,6,2.48,Yes
946,415,no,180,88,30.6,11.5,6,3.11,No
947,408,no,257.4,67,43.76,13.4,5,3.62,Yes
948,415,yes,174.4,75,29.65,11,4,2.97,No
949,408,no,159.7,83,27.15,8.4,3,2.27,No
950,408,no,237.2,124,40.32,11,3,2.97,No
951,415,no,103,129,17.51,7.9,3,2.13,No
952,415,no,153.8,89,26.15,11.6,2,3.13,No
953,415,no,205.1,86,34.87,10.7,2,2.89,No
954,415,yes,175.7,93,29.87,8.6,3,2.32,No
955,510,no,155.9,123,26.5,8.6,8,2.32,No
956,415,yes,154.4,109,26.25,10.3,5,2.78,No
957,415,yes,209.7,73,35.65,7.1,3,1.92,No
958,415,no,150,69,25.5,9.4,15,2.54,No
959,510,yes,232.4,97,39.51,12.3,3,3.32,No
960,408,no,165.4,100,28.12,12.8,5,3.46,No
961,415,no,199.2,106,33.86,13.3,3,3.59,No
962,408,no,217.6,81,36.99,4.2,3,1.13,No
963,415,no,212.1,95,36.06,7.7,2,2.08,No
964,415,yes,154,75,26.18,10.8,5,2.92,No
965,408,yes,193.8,130,32.95,13.3,2,3.59,No
966,415,no,175.4,130,29.82,12.2,4,3.29,No
967,510,yes,152,63,25.84,15.7,5,4.24,Yes
968,408,no,230.2,147,39.13,9.2,3,2.48,No
969,408,yes,174.9,103,29.73,13.5,3,3.65,Yes
970,415,no,190.2,68,32.33,8.8,4,2.38,No
971,415,no,176.4,122,29.99,11.5,1,3.11,No
972,415,no,160.9,95,27.35,5,5,1.35,No
973,415,no,228.7,90,38.88,11.8,3,3.19,No
974,408,no,144,90,24.48,12.3,2,3.32,No
975,510,yes,135.9,90,23.1,9.5,7,2.57,No
976,510,no,334.3,118,56.83,10.4,6,2.81,Yes
977,415,no,130.5,77,22.19,13,6,3.51,No
978,408,yes,134.2,105,22.81,11.8,2,3.19,Yes
979,415,no,278,102,47.26,13.1,4,3.54,Yes
980,415,no,105.4,70,17.92,7.8,5,2.11,No
981,510,no,188.9,94,32.11,11.6,8,3.13,No
982,408,yes,111.8,85,19.01,6.9,4,1.86,No
983,415,yes,159.1,106,27.05,13,18,3.51,No
984,510,no,212.4,105,36.11,9,4,2.43,No
985,415,no,142.3,112,24.19,9.9,1,2.67,No
986,415,no,346.8,55,58.96,13.3,9,3.59,Yes
987,415,yes,113.9,102,19.36,11.8,9,3.19,No
988,415,yes,267.9,103,45.54,8.3,2,2.24,Yes
989,510,no,171.4,117,29.14,17,4,4.59,No
990,408,no,275.4,150,46.82,13.6,3,3.67,No
991,415,yes,197.2,118,33.52,3.9,2,1.05,No
992,415,yes,192.6,97,32.74,7.9,2,2.13,No
